date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2022-05-31 22:30,-1.18,-149.60,0.00,20.15,40.00,499.10,0.12,0.00,0.00,1424.00,0.00,0.00,11.50,NaN,141.60
2022-05-31 22:35,-36.70,-246.70,0.00,20.10,40.00,496.30,0.12,0.00,0.00,1457.00,0.00,0.00,11.33,NaN,132.20
2022-05-31 22:40,-42.99,-262.20,0.00,19.61,40.00,498.00,0.12,0.00,0.00,1478.00,0.00,0.00,11.17,NaN,131.40
2022-05-31 22:45,-17.75,-296.40,0.00,19.16,40.00,493.80,0.12,0.00,0.00,1488.00,0.00,0.00,11.00,NaN,148.00
2022-05-31 22:50,-23.54,-332.60,0.00,18.98,40.00,497.70,0.12,0.00,0.00,1483.00,0.00,0.00,10.83,NaN,122.50
2022-05-31 22:55,-14.26,-377.10,0.00,18.88,40.00,495.00,0.12,0.00,0.00,1498.00,0.00,0.00,10.67,NaN,119.20
2022-05-31 23:00,-2.12,-343.20,0.00,18.61,41.00,500.60,0.12,0.00,7.10,1457.00,0.00,0.00,10.50,NaN,122.60
2022-05-31 23:05,-5.51,-333.00,0.00,18.38,41.00,507.40,0.12,0.00,0.00,1440.00,0.00,0.00,10.58,NaN,146.40
2022-05-31 23:10,-0.17,-337.30,0.00,18.22,43.00,516.90,0.12,0.00,7.16,1444.00,0.00,0.00,10.67,NaN,266.40
2022-05-31 23:15,-0.17,-412.40,0.00,18.65,41.00,506.40,0.12,0.00,11.64,1460.00,0.00,0.00,10.75,NaN,261.60
2022-05-31 23:20,-0.21,-423.80,0.00,19.09,40.00,500.40,0.11,0.00,8.52,1442.00,0.00,0.00,10.83,NaN,258.70
2022-05-31 23:25,0.00,-405.00,0.00,19.16,41.00,502.90,0.12,0.00,16.30,1409.00,0.00,0.00,10.92,NaN,268.00
2022-05-31 23:30,-0.02,-361.30,0.00,19.09,40.00,498.30,0.12,0.00,4.90,1406.00,0.00,0.00,11.00,NaN,253.30
2022-05-31 23:35,-0.24,-229.50,0.00,19.70,40.00,499.40,0.13,0.00,5.60,1373.00,0.00,0.00,10.88,NaN,268.20
2022-05-31 23:40,-0.28,-174.80,0.00,20.90,40.00,495.70,0.12,0.00,3.33,1364.00,0.00,0.00,10.77,NaN,269.10
